CountryCode,Sex,Altersgruppe,Bis,Todesfall
724,sexo,grupo_edad,count
724,M,0,9,12
724,M,10,19,11
724,M,20,29,43
724,M,30,39,103
724,M,40,49,406
724,M,50,59,1445
724,M,60,69,4056
724,M,70,79,8972
724,M,80,100,19547
724,M,999,999,93
724,F,0,9,16
724,F,10,19,15
724,F,20,29,36
724,F,30,39,71
724,F,40,49,213
724,F,50,59,655
724,F,60,69,1601
724,F,70,79,4543
724,F,80,100,21547
724,F,999,999,70
724,U,0,9,0
724,U,10,19,0
724,U,20,29,0
724,U,30,39,1
724,U,40,49,1
724,U,50,59,1
724,U,60,69,5
724,U,70,79,17
724,U,80,100,48
724,U,999,999,178
724,B,0,9,28
724,B,10,19,26
724,B,20,29,79
724,B,30,39,175
724,B,40,49,620
724,B,50,59,2101
724,B,60,69,5662
724,B,70,79,13532
724,B,80,100,41142
724,B,999,999,341
